timestamp,11.6Hz_coherence,alpha_power,replication_allowed
2025-11-30T17:25:01.012984,0.505,0.934,False
2025-11-30T17:25:01.127877,0.477,0.940,False
2025-11-30T17:25:01.227639,0.459,0.945,False
2025-11-30T17:25:01.345300,0.499,0.950,False
2025-11-30T17:25:01.461942,0.568,0.954,False
2025-11-30T17:25:01.561116,0.567,0.958,False
2025-11-30T17:25:01.674372,0.468,0.962,False
2025-11-30T17:25:01.787079,0.385,0.966,False
2025-11-30T17:25:01.885285,0.432,0.969,False
2025-11-30T17:25:01.998777,0.588,0.971,False
2025-11-30T17:25:02.116268,0.649,0.974,False
2025-11-30T17:25:02.230991,0.507,0.976,False
2025-11-30T17:25:02.328785,0.346,0.977,False
2025-11-30T17:25:02.445124,0.343,0.979,False
2025-11-30T17:25:02.561943,0.561,0.979,False
2025-11-30T17:25:02.661765,0.716,0.980,False
2025-11-30T17:25:02.776710,0.630,0.980,False
2025-11-30T17:25:02.891943,0.353,0.980,False
2025-11-30T17:25:02.994576,0.242,0.979,False
2025-11-30T17:25:03.112491,0.434,0.978,False
2025-11-30T17:25:03.226256,0.735,0.976,False
2025-11-30T17:25:03.327175,0.766,0.975,False
2025-11-30T17:25:03.443715,0.472,0.973,False
2025-11-30T17:25:03.561172,0.193,0.970,False
2025-11-30T17:25:03.660311,0.268,0.967,False
2025-11-30T17:25:03.777147,0.641,0.964,False
2025-11-30T17:25:03.872476,0.846,0.961,False
2025-11-30T17:25:03.987814,0.655,0.956,False
2025-11-30T17:25:04.101814,0.244,0.952,False
2025-11-30T17:25:04.199096,0.135,0.948,False
2025-11-30T17:25:04.314130,0.458,0.942,False
2025-11-30T17:25:04.433776,0.853,0.937,False
2025-11-30T17:25:04.533391,0.835,0.932,False
2025-11-30T17:25:04.648000,0.407,0.925,False
2025-11-30T17:25:04.767659,0.086,0.918,False
2025-11-30T17:25:04.868277,0.243,0.912,False
2025-11-30T17:25:04.985712,0.731,0.905,False
2025-11-30T17:25:05.102336,0.927,0.897,True
2025-11-30T17:25:05.202914,0.636,0.890,False
2025-11-30T17:25:05.318555,0.148,0.882,False
2025-11-30T17:25:05.434007,0.114,0.873,False
2025-11-30T17:25:05.530381,0.512,0.866,False
2025-11-30T17:25:05.643611,0.937,0.856,True
2025-11-30T17:25:05.757998,0.793,0.847,False
2025-11-30T17:25:05.854524,0.333,0.838,False
2025-11-30T17:25:05.966995,0.029,0.828,False
2025-11-30T17:25:06.084556,0.341,0.818,False
2025-11-30T17:25:06.197773,0.866,0.807,False
2025-11-30T17:25:06.297525,0.949,0.797,True
2025-11-30T17:25:06.411094,0.502,0.786,False
2025-11-30T17:25:06.525962,0.050,0.775,False
2025-11-30T17:25:06.625845,0.129,0.765,False
2025-11-30T17:25:06.745618,0.658,0.753,False
2025-11-30T17:25:06.861983,0.979,0.741,True
2025-11-30T17:25:06.959386,0.748,0.730,False
2025-11-30T17:25:07.076159,0.203,0.718,False
